ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06tas*,ELC1,Mikkel Eriksen,Eriksen,NYR,C,FA,17,,"525,000",0,0,13%,,"06tas,ELC1"
*06cdz*,ELC3,Filip Eriksson,Eriksson,MTL,C,FA,20,,"525,000",0,0,15%,,"06cdz,ELC3"
*06c48*,ELC3,Jiri Felcman,Felcman,CHI,C,FA,20,,"525,000",0,0,12%,,"06c48,ELC3"
*06mch*,ELC2,Melvin Fernstrom,Fernstrom,PIT,RW,FA,19,,"525,000",0,0,20%,,"06mch,ELC2"
*06mh2*,ELC2,Jakub Fibigr,Fibigr,SEA,D,FA,18,,"525,000",0,0,12%,,"06mh2,ELC2"
*06pyy*,ELC1,Blake Fiddler,Fiddler,SEA,D,FA,17,,"525,000",0,0,32%,,"06pyy,ELC1"
*06baf*,ELC3,Aiden Fink,Fink,NSH,RW,FA,20,,"525,000",0,0,35%,,"06baf,ELC3"
*060ja*,ELC4,Quinn Finley,Finley,NYI,LW,FA,20,,"525,000",0,0,22%,,"060ja,ELC4"
*06cl1*,ELC3,Emmitt Finnie,Finnie,DET,C,FA,20,,"525,000",0,0,20%,,"06cl1,ELC3"
*06md5*,ELC2,Lukas Fischer,Fischer,STL,D,FA,18,,"525,000",0,0,18%,,"06md5,ELC2"
*06bnf*,ELC3,Paul Fischer,Fischer,EDM,D,FA,20,,"525,000",0,0,12%,,"06bnf,ELC3"
*06c47*,ELC2,Jake Fisher,Fisher,COL,LW,FA,20,,"525,000",0,0,5%,,"06c47,ELC2"
*06tmo*,ELC1,Conrad Fondrk,Fondrk,NJD,C,FA,18,,"525,000",0,0,20%,,"06tmo,ELC1"
*06bnk*,ELC3,Zeb Forsfjall,Forsfjall,SEA,C,FA,20,,"525,000",0,0,12%,,"06bnk,ELC3"
*06mgx*,ELC2,Charlie Forslund,Forslund,DET,"LW,RW",FA,19,,"525,000",0,0,2%,,"06mgx,ELC2"
*06c6u*,ELC3,Drew Fortescue,Fortescue,NYR,D,FA,20,,"525,000",0,0,18%,,"06c6u,ELC3"
