ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06mgq*,ELC2,John Whipple,Whipple,DET,D,FA,19,,"525,000",0,0,8%,,"06mgq,ELC2"
*06bdk*,ELC3,Albert Wikman,Wikman,FLA,D,FA,20,,"525,000",0,0,8%,,"06bdk,ELC3"
*06baa*,ELC3,Joey Willis,Willis,NSH,C,FA,20,,"525,000",0,0,12%,,"06baa,ELC3"
*06mj8*,ELC2,Jared Woolley,Woolley,LAK,D,FA,19,,"525,000",0,0,8%,,"06mj8,ELC2"
*06miy*,ELC2,Chase Wutzke,Wutzke,MIN,G,FA,18,,"525,000",0,0,3%,,"06miy,ELC2"
*06sn8*,ELC1,Ethan Wyttenbach,Wyttenbach,CGY,RW,FA,18,,"525,000",0,0,8%,,"06sn8,ELC1"
*06cdq*,ELC3,Yegor Yegorov,Yegorov,CGY,G,FA,19,,"525,000",0,0,6%,,"06cdq,ELC3"
*06tau*,ELC1,Kirill Yemelyanov,Yemelyanov,BOS,C,FA,18,,"525,000",0,0,10%,,"06tau,ELC1"
*061lr*,ELC4,Ty Young,Young,VAN,G,FA,20,,"525,000",0,0,12%,,"061lr,ELC4"
*06mjc*,ELC2,Ivan Yunin,Yunin,COL,G,FA,19,,"525,000",0,0,9%,,"06mjc,ELC2"
*06mhf*,ELC2,Kirill Zarubin,Zarubin,CGY,G,FA,19,,"525,000",0,0,21%,,"06mhf,ELC2"
*06c40*,ELC3,Yegor Zavragin,Zavragin,PHI,G,FA,19,,"525,000",0,0,56%,,"06c40,ELC3"
*06l29*,ELC2,Vasily Zelenov,Zelenov,BUF,LW,FA,19,,"525,000",0,0,5%,,"06l29,ELC2"
*06loa*,ELC2,William Zellers,Zellers,BOS,LW,FA,19,,"525,000",0,0,30%,,"06loa,ELC2"
*06mbk*,ELC2,Simon Zether,Zether,FLA,C,FA,19,,"525,000",0,0,18%,,"06mbk,ELC2"
*06spu*,ELC1,Alexander Zharovsky,Zharovsky,MTL,RW,FA,18,,"525,000",0,0,30%,,"06spu,ELC1"
*06mcn*,ELC2,Brodie Ziemer,Ziemer,BUF,RW,FA,19,,"525,000",0,0,30%,,"06mcn,ELC2"
*06pyz*,ELC1,Bill Zonnon,Zonnon,PIT,LW,FA,18,,"525,000",0,0,32%,,"06pyz,ELC1"
